ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Social group type,Land area size,Category of holdings,Net area sown,Area under current fallows,Net area cultivated,Uncultivated area 
97,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,987.15,0.194,987.344,58.856
98,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,1345.435,18.463,1363.898,52.602
99,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,217.2,0,217.2,0
100,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,18881.003,84.297,18965.3,131.1
101,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0
102,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0
103,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0
104,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0
105,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
106,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0
107,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0
108,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0
109,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0
110,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0
111,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,526.673,3.761,530.434,56.416
112,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
113,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,588.104,13.066,601.17,110.88
114,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,211.369,0,211.369,25.381
115,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,185.55,0,185.55,0
116,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,77.701,0,77.701,47.499
117,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,39.2,0,39.2,0
118,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,30.2,0,30.2,0
119,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,41.7,0,41.7,0
120,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,558.08,1.641,559.721,23.279
121,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,1.2,0,1.2,0
122,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,0,0
123,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,6.9,0,6.9,0
124,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,9.7,0,9.7,0
125,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,0,0
126,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,6.6,0,6.6,0
127,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,0,0
128,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0
129,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,0,0
130,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,15.53,2.1,17.63,0.17
